time,Q,T
3.090000000000000000e+02,3.000000000000000000e+01,4.990999999999999659e+01
3.100000000000000000e+02,3.000000000000000000e+01,4.990999999999999659e+01
3.110000000000000000e+02,3.000000000000000000e+01,4.990999999999999659e+01
3.120000000000000000e+02,3.000000000000000000e+01,4.959000000000000341e+01
3.130000000000000000e+02,3.000000000000000000e+01,4.959000000000000341e+01
3.140000000000000000e+02,3.000000000000000000e+01,4.959000000000000341e+01
3.150000000000000000e+02,3.000000000000000000e+01,4.959000000000000341e+01
3.160000000000000000e+02,3.000000000000000000e+01,4.927000000000000313e+01
3.170000000000000000e+02,3.000000000000000000e+01,4.927000000000000313e+01
3.180000000000000000e+02,3.000000000000000000e+01,4.927000000000000313e+01
3.190000000000000000e+02,3.000000000000000000e+01,4.927000000000000313e+01
3.200000000000000000e+02,3.000000000000000000e+01,4.895000000000000284e+01
3.210000000000000000e+02,3.000000000000000000e+01,4.927000000000000313e+01
3.220000000000000000e+02,3.000000000000000000e+01,4.895000000000000284e+01
3.230000000000000000e+02,3.000000000000000000e+01,4.895000000000000284e+01
3.240000000000000000e+02,3.000000000000000000e+01,4.895000000000000284e+01
3.250000000000000000e+02,3.000000000000000000e+01,4.927000000000000313e+01
3.260000000000000000e+02,3.000000000000000000e+01,4.895000000000000284e+01
3.270000000000000000e+02,3.000000000000000000e+01,4.895000000000000284e+01
3.280000000000000000e+02,3.000000000000000000e+01,4.895000000000000284e+01
3.290000000000000000e+02,3.000000000000000000e+01,4.895000000000000284e+01
3.300000000000000000e+02,3.000000000000000000e+01,4.895000000000000284e+01
3.310000000000000000e+02,3.000000000000000000e+01,4.895000000000000284e+01
3.320000000000000000e+02,3.000000000000000000e+01,4.861999999999999744e+01
3.330000000000000000e+02,3.000000000000000000e+01,4.895000000000000284e+01
3.340000000000000000e+02,3.000000000000000000e+01,4.927000000000000313e+01
3.350000000000000000e+02,3.000000000000000000e+01,4.895000000000000284e+01
3.360000000000000000e+02,3.000000000000000000e+01,4.861999999999999744e+01
3.370000000000000000e+02,3.000000000000000000e+01,4.861999999999999744e+01
3.380000000000000000e+02,3.000000000000000000e+01,4.861999999999999744e+01
3.390000000000000000e+02,3.000000000000000000e+01,4.861999999999999744e+01
3.400000000000000000e+02,3.000000000000000000e+01,4.861999999999999744e+01
3.410000000000000000e+02,3.000000000000000000e+01,4.861999999999999744e+01
3.420000000000000000e+02,3.000000000000000000e+01,4.861999999999999744e+01
3.430000000000000000e+02,3.000000000000000000e+01,4.861999999999999744e+01
3.440000000000000000e+02,3.000000000000000000e+01,4.861999999999999744e+01
3.450000000000000000e+02,3.000000000000000000e+01,4.861999999999999744e+01
3.460000000000000000e+02,3.000000000000000000e+01,4.861999999999999744e+01
3.470000000000000000e+02,3.000000000000000000e+01,4.895000000000000284e+01
3.480000000000000000e+02,3.000000000000000000e+01,4.861999999999999744e+01
3.490000000000000000e+02,3.000000000000000000e+01,4.861999999999999744e+01
3.500000000000000000e+02,3.000000000000000000e+01,4.861999999999999744e+01
3.510000000000000000e+02,3.000000000000000000e+01,4.829999999999999716e+01
3.520000000000000000e+02,3.000000000000000000e+01,4.829999999999999716e+01
3.530000000000000000e+02,3.000000000000000000e+01,4.829999999999999716e+01
3.540000000000000000e+02,3.000000000000000000e+01,4.829999999999999716e+01
3.550000000000000000e+02,3.000000000000000000e+01,4.829999999999999716e+01
3.560000000000000000e+02,3.000000000000000000e+01,4.829999999999999716e+01
3.570000000000000000e+02,3.000000000000000000e+01,4.829999999999999716e+01
3.580000000000000000e+02,3.000000000000000000e+01,4.829999999999999716e+01
3.590000000000000000e+02,3.000000000000000000e+01,4.829999999999999716e+01
3.600000000000000000e+02,3.000000000000000000e+01,4.829999999999999716e+01
3.610000000000000000e+02,3.000000000000000000e+01,4.829999999999999716e+01
3.620000000000000000e+02,3.000000000000000000e+01,4.829999999999999716e+01
3.630000000000000000e+02,3.000000000000000000e+01,4.829999999999999716e+01
3.640000000000000000e+02,3.000000000000000000e+01,4.829999999999999716e+01
3.650000000000000000e+02,3.000000000000000000e+01,4.829999999999999716e+01
3.660000000000000000e+02,3.000000000000000000e+01,4.829999999999999716e+01
3.670000000000000000e+02,3.000000000000000000e+01,4.829999999999999716e+01
3.680000000000000000e+02,3.000000000000000000e+01,4.797999999999999687e+01
3.690000000000000000e+02,3.000000000000000000e+01,4.797999999999999687e+01
3.700000000000000000e+02,3.000000000000000000e+01,4.797999999999999687e+01
